manuf,model,retail,volt,no batteries,bat Ahr,bat lb,motor type,sound rating,hi cfm,lo cfm,hi mph,lo mph,weight,price,source
Ego,LB6151,Ace Hardware,56.0,1.0,2.5,2.8,0.0,63.0,500.0,401.0,200.0,101.0,7.0,219.0,EGO Power+ LB6151 170 mph 615 CFM 56 V Battery Handheld Leaf Blower Kit (Battery & Charger) W/ 2.5 AH BATTERY - Ace Hardware
Ego,LB6151,Lowes,56.0,1.0,2.5,2.2,0.0,57.0,615.0,615.0,170.0,170.0,12.5,199.0,https://www.lowes.com/pd/EGO-POWER-615-CFM-56-Volt-180-MPH-Brushless-Handheld-Cordless-Electric-Leaf-Blower-2-5-Ah-Battery-Charger-Included/5001957647
Ego,LB6151,Lowes,56.0,1.0,2.5,2.8,0.0,63.0,500.0,401.0,200.0,101.0,7.0,199.0,EGO POWER+ 56-volt 615-CFM 170-MPH Battery Handheld Leaf Blower 2.5 Ah (Battery and Charger Included) in the Leaf Blowers department at Lowes.com
Ego,LB6151,Walmart,56.0,1.0,2.5,2.8,0.0,65.0,615.0,200.0,170.0,150.0,7.51,219.0,https://www.lowes.com/pd/EGO-POWER-615-CFM-56-Volt-180-MPH-Brushless-Handheld-Cordless-Electric-Leaf-Blower-2-5-Ah-Battery-Charger-Included/5001957647?cm_mmc=shp-_-c-_-prd-_-sol-_-ggl-_-SS_SOL_000_Priority_Items-_-5001957647-_-local-_-0-_-0&gclid=Cj0KCQjwl8anBhCFARIsAKbbpyQ907_Z0SzV8jvl_25HpA7WJZVB_q5FJMSe_8MwgqwnWWnnCRZs-q8aAiV9EALw_wcB&gclsrc=aw.ds
Ego,LB6153,Ace Hardware,56.0,1.0,4.0,4.0,0.0,63.0,500.0,401.0,200.0,101.0,7.0,239.0,EGO Power+ LB6153 170 mph 615 CFM 56 V Battery Handheld Leaf Blower Kit (Battery & Charger) W/ 4.0 AH BATTERY - Ace Hardware
Ego,LB6153,Lowes,56.0,1.0,4.0,4.0,0.0,63.0,500.0,401.0,200.0,101.0,7.0,199.0,EGO POWER+ 56-volt 615-CFM 170-MPH Battery Handheld Leaf Blower 2.5 Ah (Battery and Charger Included) in the Leaf Blowers department at Lowes.com
Ego,LB6500,Ace Hardware,56.0,0.0,5.0,4.98,0.0,65.0,500.0,401.0,200.0,101.0,12.0,229.0,EGO Power+ LB6500 180 mph 650 CFM 56 V Battery Handheld Leaf Blower Tool Only - Ace Hardware
Ego,LB6500,Lowes,56.0,0.0,5.0,4.98,0.0,65.0,500.0,401.0,200.0,101.0,12.0,279.0,EGO POWER+ 56-volt 650-CFM 180-MPH Battery Handheld Leaf Blower 5 Ah (Battery and Charger Included) in the Leaf Blowers department at Lowes.com
Ego,LB6503,Ace Hardware,56.0,1.0,4.0,4.0,0.0,64.0,700.0,601.0,200.0,101.0,12.0,249.0,EGO Power+ LB6503 180 mph 650 CFM 56 V Battery Handheld Leaf Blower Kit (Battery & Charger) W/ 4.0 AH BATTERY - Ace Hardware
Ego,LB6503,Lowes,56.0,1.0,4.0,2.2,0.0,62.0,650.0,650.0,180.0,180.0,4.8,269.0,https://www.lowes.com/pd/EGO-POWER-56-volt-650-CFM-Brushless-Handheld-Cordless-Electric-Leaf-Blower-4-Ah-Battery-Charger-Included/5013199845
Ego,LB6503,Lowes,56.0,1.0,4.0,4.0,0.0,64.0,700.0,601.0,200.0,101.0,12.0,279.0,EGO POWER+ 56-volt 650-CFM 180-MPH Battery Handheld Leaf Blower 5 Ah (Battery and Charger Included) in the Leaf Blowers department at Lowes.com
Ego,LB6504,Lowes,56.0,1.0,5.0,2.6,0.0,64.0,650.0,650.0,180.0,180.0,4.8,279.0,https://www.lowes.com/pd/EGO-Power-56-Volt-Lithium-Ion-Brushless-Cordless-Electric-Leaf-Blower-Battery-Included/1003130708
Ego,LB6703,Lowes,56.0,1.0,4.0,2.2,0.0,63.0,670.0,250.0,180.0,180.0,4.8,249.0,https://www.lowes.com/pd/EGO-POWER-56-volt-670-CFM-180-MPH-Brushless-Handheld-Cordless-Electric-Leaf-Blower-4-Ah-Battery-Charger-Included/5013796763
Ego,LB7650,Ace Hardware,56.0,0.0,5.0,4.98,0.0,64.0,800.0,701.0,200.0,101.0,5.0,249.0,EGO Power+ LB7650 200 mph 765 CFM 56 V Battery Handheld Leaf Blower Tool Only - Ace Hardware
Ego,LB7650,Lowes,56.0,1.0,5.0,4.9,0.0,65.0,765.0,260.0,200.0,166.0,12.25,329.0,https://www.lowes.com/pd/EGO-EGO-765CFM-BLOWER-KIT/5005381953?cm_mmc=shp-_-c-_-prd-_-sol-_-ggl-_-SS_SOL_000_Priority_Items-_-5005381953-_-local-_-0-_-0&gclid=Cj0KCQjwl8anBhCFARIsAKbbpyQlILuCwU2Udz3vGjUHAZa54h7xrgd52DZAMMxG_UpoNdEgw2t5hGQaAnYhEALw_wcB&gclsrc=aw.ds
Ego,LB7650,Lowes,56.0,0.0,5.0,4.98,0.0,64.0,800.0,701.0,200.0,101.0,5.0,299.0,EGO POWER+ 56-volt 765-CFM 200-MPH Battery Handheld Leaf Blower 5 Ah (Battery and Charger Included) in the Leaf Blowers department at Lowes.com
Ego,LB7654,Ace Hardware,56.0,1.0,5.0,4.98,0.0,64.0,765.0,260.0,200.0,101.0,10.0,329.0,"EGO Power+ Battery Handheld Leaf Blower Kit, LB7654 765 CFM 56 V - Ace Hardware"
Ego,LB7654,Lowes,56.0,1.0,5.0,2.2,0.0,57.0,765.0,765.0,200.0,200.0,12.3,299.0,https://www.lowes.com/pd/EGO-EGO-765CFM-BLOWER-KIT/5005381953
Ego,LB7654,Lowes,56.0,1.0,5.0,4.98,0.0,64.0,765.0,260.0,200.0,101.0,10.0,299.0,EGO POWER+ 56-volt 765-CFM 200-MPH Battery Handheld Leaf Blower 5 Ah (Battery and Charger Included) in the Leaf Blowers department at Lowes.com
Ego,LBPX8004-2,Lowes,56.0,2.0,6.0,4.8,0.0,65.0,800.0,800.0,190.0,190.0,29.0,699.0,https://www.lowes.com/pd/EGO-800CFM-Peak-Power-Backpack-Blower-Kit-2-x-6Ah-battery-CH2800D-charger-1-Nozzle/5013799683
Greenworks,2411902VT,Walmart,40.0,1.0,2.5,1.849,0.0,65.0,450.0,450.0,125.0,125.0,9.7,108.0,"Greenworks 40V (120 MPH / 450 CFM) Axial Blower, 2.5Ah Battery and Charger - Walmart.com"
Greenworks,GBL80321,Walmart,80.0,1.0,2.0,2.8,0.0,60.0,500.0,275.0,125.0,68.0,8.5,255.73,https://www.walmart.com/ip/Greenworks-12-Amp-375-CFM-Corded-Electric-Leaf-Blower-Mulcher-Vacuum-24022/43854839?clickid=xrtWJFwqWxyPUbn3oqWjXxTwUkFyd0zMexpG1U0&irgwc=1&sourceid=imp_xrtWJFwqWxyPUbn3oqWjXxTwUkFyd0zMexpG1U0&veh=aff&wmlspartner=imp_1258399&sharedid=&affiliates_ad_id=568844&campaign_id=9383
Husqvarna,970569904,Lowes,40.0,1.0,7.5,3.4,0.0,65.0,800.0,800.0,200.0,200.0,10.0,299.0,https://www.lowes.com/pd/Husqvarna/5013820347
Kobalt,KHB 4224A-03,Lowes,24.0,1.0,4.0,1.8,0.0,61.0,500.0,500.0,120.0,120.0,5.4,119.0,https://www.lowes.com/pd/Kobalt-120-MPH-24-Volt-Max-Lithium-Ion-Brushless-Handheld-Cordless-Electric-Leaf-Blower-Battery-Included/5001564637
Kobalt,KHB 6380-06,Lowes,80.0,0.0,2.5,1.5,0.0,92.0,630.0,630.0,140.0,140.0,5.84,169.0,Kobalt 80-volt Max 630-CFM 140-MPH Battery Handheld Leaf Blower (Battery and Charger Not Included) in the Leaf Blowers department at Lowes.com
Kobalt,KLB 1040A-03,Lowes,40.0,0.0,4.0,1.8,0.0,58.0,520.0,520.0,120.0,120.0,12.9,139.0,https://www.lowes.com/pd/Kobalt-Gen4-40-volt-520-CFM-120-MPH-Brushless-Handheld-Cordless-Electric-Leaf-Blower-4-Ah-Battery-Charger-Included/5002904975
Kolbalt,KHB 6380-06,Lowes,80.0,0.0,2.5,2.6,0.0,60.0,630.0,630.0,140.0,140.0,5.8,169.0,https://www.lowes.com/pd/Kobalt-80-Volt-Max-Lithium-Ion-Brushless-Cordless-Electric-Leaf-Blower/1000486357
Makita,XBU02PT,Home Depot,36.0,2.0,5.0,1.5,0.0,61.0,473.0,473.0,120.0,120.0,9.9,389.0,Makita 120 MPH 473 CFM 18V X2 (36V) LXT Lithium-Ion Brushless Cordless Leaf Blower Kit with 2 Batteries 5.0Ah and Charger XBU02PT - The Home Depot
Makita ,GBU01M1,Home Depot,40.0,1.0,4.0,1.2,0.0,59.0,565.0,565.0,143.0,143.0,7.7,439.0,https://www.homedepot.com/p/Makita-XGT-40V-Max-Brushless-Cordless-Leaf-Blower-Kit-4-0Ah-GBU01M1/317345869
Makita ,XBU02PT1,Home Depot,36.0,4.0,5.0,3.2,0.0,61.0,473.0,473.0,120.0,120.0,9.0,549.0,https://www.homedepot.com/p/Makita-120-MPH-473-CFM-18V-x2-36V-LXT-Lithium-Ion-Brushless-Cordless-Leaf-Blower-Kit-with-4-5-0-Ah-Batteries-XBU02PT1/303408205
Makita ,XBU03Z,Home Depot ,18.0,1.0,4.0,1.2,0.0,63.0,459.0,459.0,116.0,116.0,6.0,169.0,https://www.homedepot.com/p/Makita-116-MPH-459-CFM-18V-LXT-Lithium-Ion-Brushless-Cordless-Leaf-Blower-Tool-Only-XBU03Z/311137108
Makita ,XBU04PTV,Home Depot,36.0,2.0,5.0,3.2,0.0,61.0,473.0,473.0,120.0,120.0,26.5,659.0,https://www.homedepot.com/p/Makita-120-MPH-473-CFM-LXT-18V-X2-36V-Lithium-Ion-Brushless-Cordless-Leaf-Blower-Kit-with-Vacuum-Attachment-Kit-5-0-Ah-XBU04PTV/313894232
