manuf,model,retail,volt,no batteries,bat Ahr,bat lb,motor type,sound rating,hi cfm,lo cfm,hi mph,lo mph,weight,price,source
Worx,WG545.1,Home Depot,20,1,2,0.5,brushed,61,80,80,120,120,3.5,119,https://www.homedepot.com/p/Worx-POWER-SHARE-20-Volt-120-MPH-80-CFM-Cordless-Battery-Leaf-Blower-Sweeper-2Ah-Battery-Charger-Accessories-Included-WG545-1/204700898?irgwc=1&cm_mmc=afl-ir-1258399-459920-&clickid=VIh26UwrjxyPTOUxFO0M41mVUkFyvCUEexpG1U0
Worx,WG547,Worx,20,1,2,0.5,brushed,78,360,270,75,55,4,119.99,https://www.worx.com/20v-turbine-cordless-blower-wg547.html
Worx,WG547.1,Worx,20,2,2,0.5,brushed,78,360,270,75,55,4,169.99,https://www.worx.com/20v-turbine-2-speed-cordless-leaf-blower-wg547-1.html
Worx,WG547.9,Lowes,20,0,2,0.5,brushed,78,360,270,75,55,4,89.98,https://www.lowes.com/pd/WORX-POWER-SHARE-20-Volt-75-MPH-360-CFM-Cordless-Handheld-Turbine-2-Speed-Blower-Tool-Only/5000297739?user=shopping&srsltid=AfmBOorTo4stAfktQEWAQ0K8-MTSZH-tFf8Vz8RUu2M5Ft-6moquo97nf94&com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e
Worx,WG572,Worx,80,4,5,2.4,brushless,83,800,800,150,150,23.6,699,https://www.worx.com/nitro-80v-backpack-leaf-blower-wg572.html
Worx,WG583,Worx,20,2,4,2.8,brushless,70,350,200,185,116,8.4,279.99,https://www.worx.com/40v-cordless-blower-vac-mulcher-wg583.html?utm_source=affiliate&utm_campaign=JFG&utm_medium=8835144&cjevent=dd4a17e449cb11ee809d012d0a1cb826&cjdata=MXxOfDB8WXww
Worx,WG583.9,Worx,20,0,4,2.8,brushless,70,350,200,185,116,8.4,219,https://www.worx.com/40v-cordless-blower-vac-mulcher-tool-only-1.html
Worx,WG584,Ace Hardware,20,2,2.5,1.8,brushless,62,470,300,95,60,7.3,219.99,https://www.acehardware.com/departments/lawn-and-garden/outdoor-power-equipment/leaf-blowers/7006558?x429=true&utm_source=google&utm_medium=organic-shopping&utm_campaign=organic-shopping&irclickid=xN7T8O3a3xyNTdlXfUU-bRguUkFyvH20expG1U0&irgwc=1&utm_medium=Affiliate&utm_source=Impact&utm_campaign=1258399&utm_term=611504
Worx,WG584,Worx,40,2,4,1.3,brushless,63,470,300,95,60,7.3,245,https://www.worx.com/20v-leafjet-cordless-leaf-blower-wg543.html
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
