manuf,model,retail,volt,no batteries,bat Ahr,bat lb,motor type,sound rating,hi cfm,lo cfm,hi mph,lo mph,weight,price,source
Ego,LB6151,Walmart,56,1,2.5,2.8,brushless,65,615,200,170,150,7.51,219,https://www.lowes.com/pd/EGO-POWER-615-CFM-56-Volt-180-MPH-Brushless-Handheld-Cordless-Electric-Leaf-Blower-2-5-Ah-Battery-Charger-Included/5001957647?cm_mmc=shp-_-c-_-prd-_-sol-_-ggl-_-SS_SOL_000_Priority_Items-_-5001957647-_-local-_-0-_-0&gclid=Cj0KCQjwl8anBhCFARIsAKbbpyQ907_Z0SzV8jvl_25HpA7WJZVB_q5FJMSe_8MwgqwnWWnnCRZs-q8aAiV9EALw_wcB&gclsrc=aw.ds
Ego,LB6153,Ace Hardware,56,1,4,4,brushless,63,500,401,200,101,7,239,EGO Power+ LB6153 170 mph 615 CFM 56 V Battery Handheld Leaf Blower Kit (Battery & Charger) W/ 4.0 AH BATTERY - Ace Hardware
Ego,LB6153,Lowes,56,1,4,4,brushless,63,500,401,200,101,7,199,EGO POWER+ 56-volt 615-CFM 170-MPH Battery Handheld Leaf Blower 2.5 Ah (Battery and Charger Included) in the Leaf Blowers department at Lowes.com
Ego,LB6500,Ace Hardware,56,0,5,4.98,brushless,65,500,401,200,101,12,229,EGO Power+ LB6500 180 mph 650 CFM 56 V Battery Handheld Leaf Blower Tool Only - Ace Hardware
Ego,LB6500,Lowes,56,0,5,4.9,brushless,65,650,225,180,,9.67,229,https://www.lowes.com/pd/EGO-LEAF-BLWR-650-CFM-180-MPH-BARE-TOOL/5000151941
Ego,LB6500,Lowes,56,0,5,4.98,brushless,65,500,401,200,101,12,279,EGO POWER+ 56-volt 650-CFM 180-MPH Battery Handheld Leaf Blower 5 Ah (Battery and Charger Included) in the Leaf Blowers department at Lowes.com
Ego,LB6503,Ace Hardware,56,1,4,4,brushless,64,700,601,200,101,12,249,EGO Power+ LB6503 180 mph 650 CFM 56 V Battery Handheld Leaf Blower Kit (Battery & Charger) W/ 4.0 AH BATTERY - Ace Hardware
Ego,LB6503,Lowes,56,1,4,2.2,brushless,62,650,650,180,180,4.8,269,https://www.lowes.com/pd/EGO-POWER-56-volt-650-CFM-Brushless-Handheld-Cordless-Electric-Leaf-Blower-4-Ah-Battery-Charger-Included/5013199845
Ego,LB6503,Lowes,56,1,4,4,brushless,64,700,601,200,101,12,279,EGO POWER+ 56-volt 650-CFM 180-MPH Battery Handheld Leaf Blower 5 Ah (Battery and Charger Included) in the Leaf Blowers department at Lowes.com
Ego,LB6504,Lowes,56,1,5,2.6,brushless,64,650,650,180,180,4.8,279,https://www.lowes.com/pd/EGO-Power-56-Volt-Lithium-Ion-Brushless-Cordless-Electric-Leaf-Blower-Battery-Included/1003130708
Ego,LB6703,Ace Hardware,56,1,4,4,brushless,,700,601,200,101,2,249,EGO Power+ LB6703 180 mph 670 CFM 56 V Battery Handheld Leaf Blower Kit (Battery & Charger) W/ 4.0 AH BATTERY - Ace Hardware
Ego,LB6703,Lowes,56,1,4,2.2,brushless,63,670,250,180,180,4.8,249,https://www.lowes.com/pd/EGO-POWER-56-volt-670-CFM-180-MPH-Brushless-Handheld-Cordless-Electric-Leaf-Blower-4-Ah-Battery-Charger-Included/5013796763
Ego,LB7650,Ace Hardware,56,0,5,4.98,brushless,64,800,701,200,101,5,249,EGO Power+ LB7650 200 mph 765 CFM 56 V Battery Handheld Leaf Blower Tool Only - Ace Hardware
Ego,LB7650,Lowes,56,1,5,4.9,brushless,65,765,260,200,166,12.25,329,https://www.lowes.com/pd/EGO-EGO-765CFM-BLOWER-KIT/5005381953?cm_mmc=shp-_-c-_-prd-_-sol-_-ggl-_-SS_SOL_000_Priority_Items-_-5005381953-_-local-_-0-_-0&gclid=Cj0KCQjwl8anBhCFARIsAKbbpyQlILuCwU2Udz3vGjUHAZa54h7xrgd52DZAMMxG_UpoNdEgw2t5hGQaAnYhEALw_wcB&gclsrc=aw.ds
Ego,LB7650,Lowes,56,0,5,4.98,brushless,64,800,701,200,101,5,299,EGO POWER+ 56-volt 765-CFM 200-MPH Battery Handheld Leaf Blower 5 Ah (Battery and Charger Included) in the Leaf Blowers department at Lowes.com
Ego,LB7654,Ace Hardware,56,1,5,4.98,brushless,64,765,260,200,101,10,329,"EGO Power+ Battery Handheld Leaf Blower Kit, LB7654 765 CFM 56 V - Ace Hardware"
Ego,LB7654,Lowes,56,1,5,2.2,brushless,57,765,765,200,200,12.3,299,https://www.lowes.com/pd/EGO-EGO-765CFM-BLOWER-KIT/5005381953
Ego,LB7654,Lowes,56,1,5,4.98,brushless,64,765,260,200,101,10,299,EGO POWER+ 56-volt 765-CFM 200-MPH Battery Handheld Leaf Blower 5 Ah (Battery and Charger Included) in the Leaf Blowers department at Lowes.com
Ego,LBPX8004-2,Lowes,56,2,6,4.8,brushless,65,800,800,190,190,29,699,https://www.lowes.com/pd/EGO-800CFM-Peak-Power-Backpack-Blower-Kit-2-x-6Ah-battery-CH2800D-charger-1-Nozzle/5013799683
Greenworks,2411902VT,Walmart,40,1,2.5,1.849,brushless,65,450,450,125,125,9.7,108,"Greenworks 40V (120 MPH / 450 CFM) Axial Blower, 2.5Ah Battery and Charger - Walmart.com"
Greenworks,GBL80321,Walmart,80,1,2,2.8,brushless,60,500,275,125,68,8.5,255.73,https://www.walmart.com/ip/Greenworks-12-Amp-375-CFM-Corded-Electric-Leaf-Blower-Mulcher-Vacuum-24022/43854839?clickid=xrtWJFwqWxyPUbn3oqWjXxTwUkFyd0zMexpG1U0&irgwc=1&sourceid=imp_xrtWJFwqWxyPUbn3oqWjXxTwUkFyd0zMexpG1U0&veh=aff&wmlspartner=imp_1258399&sharedid=&affiliates_ad_id=568844&campaign_id=9383
Husqvarna,970569904,Lowes,40,1,7.5,3.4,brushless,65,800,800,200,200,10,299,https://www.lowes.com/pd/Husqvarna/5013820347
Kobalt,KHB 4224A-03,Lowes,24,1,4,1.8,brushless,61,500,500,120,120,5.4,119,https://www.lowes.com/pd/Kobalt-120-MPH-24-Volt-Max-Lithium-Ion-Brushless-Handheld-Cordless-Electric-Leaf-Blower-Battery-Included/5001564637
Kobalt,KHB 6380-06,Lowes,80,0,2.5,1.5,brushless,92,630,630,140,140,5.84,169,Kobalt 80-volt Max 630-CFM 140-MPH Battery Handheld Leaf Blower (Battery and Charger Not Included) in the Leaf Blowers department at Lowes.com
Kobalt,KLB 1040A-03,Lowes,40,0,4,1.8,brushless,58,520,520,120,120,12.9,139,https://www.lowes.com/pd/Kobalt-Gen4-40-volt-520-CFM-120-MPH-Brushless-Handheld-Cordless-Electric-Leaf-Blower-4-Ah-Battery-Charger-Included/5002904975
Kolbalt,KHB 6380-06,Lowes,80,0,2.5,2.6,brushless,60,630,630,140,140,5.8,169,https://www.lowes.com/pd/Kobalt-80-Volt-Max-Lithium-Ion-Brushless-Cordless-Electric-Leaf-Blower/1000486357
Makita,XBU02PT,Home Depot,36,2,5,1.5,brushless,61,473,473,120,120,9.9,389,Makita 120 MPH 473 CFM 18V X2 (36V) LXT Lithium-Ion Brushless Cordless Leaf Blower Kit with 2 Batteries 5.0Ah and Charger XBU02PT - The Home Depot
Makita ,GBU01M1,Home Depot,40,1,4,1.2,brushless,59,565,565,143,143,7.7,439,https://www.homedepot.com/p/Makita-XGT-40V-Max-Brushless-Cordless-Leaf-Blower-Kit-4-0Ah-GBU01M1/317345869
Makita ,XBU02PT1,Home Depot,36,4,5,3.2,brushless,61,473,473,120,120,9,549,https://www.homedepot.com/p/Makita-120-MPH-473-CFM-18V-x2-36V-LXT-Lithium-Ion-Brushless-Cordless-Leaf-Blower-Kit-with-4-5-0-Ah-Batteries-XBU02PT1/303408205
Makita ,XBU03Z,Home Depot ,18,1,4,1.2,brushless,63,459,459,116,116,6,169,https://www.homedepot.com/p/Makita-116-MPH-459-CFM-18V-LXT-Lithium-Ion-Brushless-Cordless-Leaf-Blower-Tool-Only-XBU03Z/311137108
